时间,设备名称,片上时间(),加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),磁场X(ʯt),磁场Y(ʯt),磁场Z(ʯt),温度(℃),电量(),信号(),版本号()
 11:30:25.416,WT5500002564_UDP, 2024-7-22 10:51:25.628, 0.004, 0.014, 0.988, 0.000, 0.000, 0.000, 0.807, -0.225, -30.344, -14.453, 24.414, -24.121, 37.6, 3.66, -72, 13011,
 11:30:25.499,WT5500002557_UDP, 2024-7-22 10:55:22.397, 0.008, 0.021, 0.997, 0.000, 0.000, 0.000, 1.236, -0.472, -115.494, -32.031, -16.309, -44.531, 35.9, 3.71, -72, 13011,
 11:30:25.528,WT5500002564_UDP, 2024-7-22 10:51:25.728, 0.004, 0.013, 0.989, 0.000, 0.000, 0.000, 0.802, -0.225, -30.344, -14.453, 24.316, -24.121, 37.6, 3.66, -72, 13011,
 11:30:25.600,WT5500002557_UDP, 2024-7-22 10:55:22.497, 0.008, 0.021, 0.997, 0.000, 0.000, 0.000, 1.236, -0.472, -115.516, -32.129, -16.309, -44.531, 35.9, 3.71, -72, 13011,
 11:30:25.616,WT5500002564_UDP, 2024-7-22 10:51:25.828, 0.003, 0.014, 0.989, 0.000, 0.000, 0.000, 0.802, -0.225, -30.333, -14.453, 24.414, -24.023, 37.6, 3.66, -72, 13011,
 11:30:25.700,WT5500002557_UDP, 2024-7-22 10:55:22.597, 0.008, 0.021, 0.997, 0.000, 0.000, 0.000, 1.230, -0.472, -115.538, -32.129, -16.211, -44.824, 35.9, 3.71, -72, 13011,
 11:30:25.715,WT5500002564_UDP, 2024-7-22 10:51:25.928, 0.004, 0.014, 0.988, 0.000, 0.000, 0.000, 0.807, -0.225, -30.328, -14.453, 24.316, -24.121, 37.6, 3.66, -71, 13011,
 11:30:25.799,WT5500002557_UDP, 2024-7-22 10:55:22.697, 0.009, 0.022, 0.998, 0.000, 0.000, 0.000, 1.230, -0.472, -115.543, -32.129, -16.309, -44.629, 35.9, 3.71, -72, 13011,
 11:30:25.815,WT5500002564_UDP, 2024-7-22 10:51:26.28, 0.003, 0.014, 0.988, 0.000, 0.000, 0.000, 0.807, -0.225, -30.328, -14.551, 24.316, -24.121, 37.6, 3.66, -71, 13011,
 11:30:25.900,WT5500002557_UDP, 2024-7-22 10:55:22.797, 0.008, 0.021, 0.997, 0.000, 0.000, 0.000, 1.230, -0.472, -115.554, -32.129, -16.309, -44.727, 35.9, 3.71, -72, 13011,
 11:30:25.915,WT5500002564_UDP, 2024-7-22 10:51:26.128, 0.004, 0.015, 0.988, 0.000, 0.000, 0.000, 0.807, -0.225, -30.322, -14.355, 24.316, -24.121, 37.6, 3.66, -71, 13011,
 11:30:26.000,WT5500002557_UDP, 2024-7-22 10:55:22.897, 0.008, 0.022, 0.997, 0.000, 0.000, 0.000, 1.230, -0.472, -115.576, -32.031, -16.211, -44.727, 35.9, 3.71, -72, 13011,
 11:30:26.016,WT5500002564_UDP, 2024-7-22 10:51:26.228, 0.004, 0.014, 0.989, 0.000, 0.000, 0.000, 0.807, -0.225, -30.311, -14.453, 24.414, -24.121, 37.6, 3.66, -71, 13011,
 11:30:26.099,WT5500002557_UDP, 2024-7-22 10:55:22.997, 0.009, 0.021, 0.997, 0.000, 0.000, 0.000, 1.230, -0.472, -115.582, -32.031, -16.211, -44.531, 35.9, 3.71, -77, 13011,
 11:30:26.116,WT5500002564_UDP, 2024-7-22 10:51:26.328, 0.004, 0.014, 0.988, 0.000, 0.000, 0.000, 0.807, -0.225, -30.311, -14.453, 24.219, -24.023, 37.6, 3.66, -71, 13011,
 11:30:26.199,WT5500002557_UDP, 2024-7-22 10:55:23.97, 0.008, 0.022, 0.997, 0.000, 0.000, 0.000, 1.230, -0.472, -115.593, -32.129, -16.211, -44.629, 35.9, 3.71, -77, 13011,
 11:30:26.215,WT5500002564_UDP, 2024-7-22 10:51:26.428, 0.004, 0.014, 0.989, 0.000, 0.000, 0.000, 0.807, -0.225, -30.317, -14.551, 24.316, -24.121, 37.6, 3.66, -71, 13011,
 11:30:26.300,WT5500002557_UDP, 2024-7-22 10:55:23.197, 0.008, 0.021, 0.997, 0.000, 0.000, 0.000, 1.230, -0.472, -115.598, -32.129, -16.211, -44.629, 35.9, 3.71, -77, 13011,
 11:30:26.318,WT5500002564_UDP, 2024-7-22 10:51:26.528, 0.004, 0.014, 0.989, 0.000, 0.000, 0.000, 0.807, -0.225, -30.322, -14.551, 24.316, -24.023, 37.6, 3.66, -71, 13011,
 11:30:26.403,WT5500002557_UDP, 2024-7-22 10:55:23.297, 0.008, 0.021, 0.995, 0.000, 0.000, 0.000, 1.230, -0.472, -115.598, -32.129, -16.211, -44.629, 35.9, 3.71, -77, 13011,
